,Total Susceptible Count,Total Exposed Count,Total Infectious Count,Total Recovered Count
0,940.4980079681275,14.155378486055778,25.868525896414344,24.47808764940239
1,566.1195219123506,103.50597609561753,178.95219123505976,156.4223107569721
2,193.49402390438246,190.9243027888446,331.54581673306774,289.0358565737052
3,1004.4980079681275,0.0,0.099601593625498,0.40239043824701193
4,827.9601593625498,41.713147410358566,72.00398406374502,63.322709163346616
5,823.3466135458167,41.73705179282869,73.87649402390439,66.0398406374502
6,373.50597609561754,149.63346613545818,257.8565737051793,224.003984063745
7,856.99203187251,32.95617529880478,60.75298804780876,54.298804780876495
8,127.49003984063745,205.34262948207171,357.1075697211155,315.0597609561753
9,388.12749003984067,142.9561752988048,252.56573705179284,221.35059760956176
10,323.00796812749,159.05179282868525,278.5816733067729,244.3585657370518
11,279.199203187251,169.0756972111554,296.0916334661355,260.63346613545815
12,94.05577689243027,214.06374501992033,369.56573705179284,327.31474103585657
13,96.71713147410358,212.52589641434264,371.003984063745,324.75298804780874
14,432.9282868525896,134.0358565737052,232.1792828685259,205.85657370517927
15,63.40239043824701,221.11553784860558,383.40239043824704,337.0796812749004
16,96.88446215139442,214.90438247011951,369.57370517928285,323.6374501992032
17,90.02788844621514,214.94820717131475,372.64940239043824,327.37450199203187
18,148.66932270916334,199.70916334661354,349.57370517928285,307.0478087649402
19,65.86852589641434,220.800796812749,382.44223107569724,335.8884462151394
20,374.6414342629482,147.9402390438247,256.37450199203187,226.0438247011952
21,133.76095617529882,203.93625498007967,355.7450199203187,311.55776892430276
22,209.45418326693226,187.9003984063745,323.0278884462151,284.61752988047806
23,175.65737051792829,194.81673306772907,338.54183266932273,295.9840637450199
24,122.35059760956176,207.5816733067729,359.32669322709165,315.7410358565737
25,132.89243027888446,205.6414342629482,353.8366533864542,312.62948207171314
26,93.8406374501992,213.72509960159363,370.87250996015933,326.56175298804783
27,78.7011952191235,218.27888446215138,376.61354581673305,331.40637450199205
28,112.0398406374502,209.5577689243028,364.0597609561753,319.3426294820717
29,166.14741035856574,197.1394422310757,341.2589641434263,300.45418326693226
30,63.155378486055774,220.28685258964143,384.1155378486056,337.44223107569724
31,80.10358565737052,217.78884462151393,376.1115537848606,330.996015936255
32,95.01593625498008,213.4422310756972,372.1155378486056,324.42629482071715
33,70.55776892430279,218.84860557768926,381.1394422310757,334.45418326693226
34,63.98406374501992,220.41035856573706,384.3386454183267,336.26693227091636
35,64.31075697211155,221.35059760956176,382.6972111553785,336.6414342629482
36,843.9521912350598,37.40239043824701,66.1593625498008,57.48605577689243
37,948.7051792828685,12.286852589641434,22.382470119521912,21.625498007968126
38,976.3824701195219,5.159362549800797,11.274900398406375,12.183266932270916
39,491.51394422310756,119.88844621513944,209.69721115537848,183.9003984063745
40,979.5099601593625,4.828685258964144,9.9402390438247,10.721115537848606
41,831.609561752988,38.13147410358566,69.65338645418326,65.60557768924303
42,861.7051792828685,33.27091633466136,57.764940239043824,52.2589641434263
43,987.1075697211155,2.8764940239043826,6.613545816733068,8.402390438247012
44,986.0557768924302,4.075697211155378,7.693227091633466,7.175298804780876
45,880.6533864541833,27.90836653386454,50.191235059760956,46.24701195219124
46,974.1274900398406,6.549800796812749,12.589641434262948,11.733067729083665
47,978.0239043824702,5.314741035856573,10.649402390438247,11.01195219123506
48,977.3306772908367,5.54183266932271,10.99601593625498,11.131474103585658
49,1005.0,0.0,0.0,0.0
50,109.01593625498008,210.43027888446215,364.31075697211156,321.2430278884462
51,649.3306772908367,81.33466135458167,143.74900398406373,130.58565737051794
52,996.0796812749004,1.6454183266932272,3.5737051792828685,3.701195219123506
53,562.6175298804781,103.39043824701196,180.5418326693227,158.45019920318725
54,64.54581673306772,222.23505976095618,382.8804780876494,335.3386454183267
55,223.9003984063745,183.16733067729083,318.9760956175299,278.9561752988048
56,93.10358565737052,214.36653386454182,371.0836653386454,326.44621513944224
57,69.31075697211155,220.4820717131474,379.0278884462151,336.1792828685259
58,75.58565737051792,219.3784860557769,377.7051792828685,332.33067729083666
59,70.03585657370517,220.14741035856574,379.2589641434263,335.55776892430276
60,72.77689243027888,218.9601593625498,379.2231075697211,334.0398406374502
61,78.30677290836654,217.13147410358565,377.2430278884462,332.3187250996016
62,79.57768924302789,216.5577689243028,378.0278884462151,330.8366533864542
63,285.39043824701196,168.15139442231074,293.7370517928287,257.7211155378486
64,69.2988047808765,219.27490039840637,379.99203187251,336.43426294820716
65,74.56573705179282,219.0239043824701,378.47410358565736,332.9362549800797
66,532.6494023904382,110.43027888446215,193.6215139442231,168.29880478087648
67,366.78884462151393,149.52589641434264,259.68525896414343,229.0
68,121.28286852589642,207.4382470119522,359.7410358565737,316.53784860557766
69,914.0996015936255,21.426294820717132,37.44223107569721,32.03187250996016
70,573.8725099601594,100.38247011952191,175.80876494023903,154.93625498007967
71,921.3864541832669,18.852589641434264,33.93625498007968,30.824701195219124
72,293.0239043824701,166.47410358565736,289.30677290836655,256.195219123506
73,168.88446215139442,196.75298804780877,339.45816733067727,299.9043824701195
74,192.88844621513945,190.69322709163347,330.1553784860558,291.2629482071713
75,180.78884462151393,193.72509960159363,335.58565737051794,294.9003984063745
76,846.8685258964143,36.93227091633466,64.20318725099601,56.99601593625498
77,393.9123505976096,144.4980079681275,249.9402390438247,216.64940239043824
78,588.410358565737,99.74900398406375,170.20318725099602,146.6374501992032
79,600.792828685259,93.75298804780877,162.68525896414343,147.76892430278883
80,637.6733067729084,85.61354581673307,149.79681274900398,131.91633466135457
81,128.54980079681275,206.0756972111554,358.0836653386454,312.29083665338646
