,Total Susceptible Count,Total Exposed Count,Total Infectious Count,Total Recovered Count
252,84.26693227091633,215.28685258964143,375.0318725099602,330.41434262948206
253,77.21115537848605,217.25099601593627,379.0278884462151,331.50996015936255
254,651.796812749004,82.52988047808765,143.80876494023903,126.86454183266932
255,100.35856573705179,212.06772908366534,369.6613545816733,322.9123505976096
256,73.81274900398407,218.16334661354583,378.9402390438247,334.0836653386454
257,76.96414342629483,218.10358565737053,377.5816733067729,332.35059760956176
258,635.8804780876494,86.62948207171314,150.58565737051794,131.90438247011951
259,76.9800796812749,217.3784860557769,378.7011952191235,331.9402390438247
260,321.1155378486056,161.09163346613545,277.7808764940239,245.01195219123505
261,760.3824701195219,55.645418326693225,99.76892430278885,89.20318725099601
262,728.1354581673306,63.51394422310757,112.47011952191235,100.88047808764941
263,501.76892430278883,119.94820717131473,204.8406374501992,178.4422310756972
264,132.16733067729083,205.11553784860558,354.9482071713147,312.76892430278883
265,182.0159362549801,193.8207171314741,335.30677290836655,293.8565737051793
266,57.88446215139442,222.25099601593627,384.40239043824704,340.46215139442234
267,351.800796812749,152.90836653386455,267.62948207171314,232.6613545816733
268,189.68525896414343,190.27091633466136,333.51394422310756,291.52988047808765
269,140.4621513944223,202.996015936255,351.71314741035854,309.82868525896413
270,97.79282868525897,213.601593625498,370.00796812749,323.59760956175296
271,550.9641434262949,107.81274900398407,184.35458167330677,161.86852589641435
272,68.66533864541833,219.14741035856574,380.8804780876494,336.30677290836655
273,88.12749003984064,214.99203187250995,374.3386454183267,327.54183266932273
274,104.26693227091633,210.66533864541833,367.40637450199205,322.6613545816733
275,93.48605577689243,214.65338645418328,371.56175298804783,325.2988047808765
276,48.29482071713147,225.8406374501992,388.0239043824701,342.8406374501992
277,47.49003984063745,224.3784860557769,388.8764940239044,344.2549800796813
278,92.0,214.4382470119522,371.55776892430276,327.003984063745
279,51.94820717131474,223.79681274900398,388.2191235059761,341.0358565737052
280,44.79681274900398,225.89243027888446,390.69322709163345,343.61752988047806
281,46.70517928286853,225.9203187250996,389.47410358565736,342.9003984063745
282,83.06772908366534,216.65737051792829,375.7370517928287,329.53784860557766
283,50.788844621513945,224.46613545816734,386.203187250996,343.54183266932273
284,77.67729083665338,218.45019920318725,376.9482071713147,331.9243027888446
285,166.0796812749004,197.5179282868526,342.6772908366534,298.7250996015936
286,110.21513944223108,211.47011952191235,363.9282868525896,319.38645418326695
287,104.48605577689243,210.9243027888446,366.3187250996016,323.27091633466136
288,331.8804780876494,158.67330677290838,272.69322709163345,241.75298804780877
289,665.6414342629482,77.97609561752988,138.33067729083666,123.05179282868527
290,61.278884462151396,220.72111553784862,385.0199203187251,337.9800796812749
291,104.36254980079681,210.398406374502,367.7011952191235,322.53784860557766
292,491.1434262948207,120.62948207171314,208.0756972111554,185.15139442231074
293,340.8764940239044,155.51394422310756,271.0199203187251,237.58964143426294
294,52.48605577689243,224.58964143426294,385.54581673306774,342.3784860557769
295,335.8645418326693,155.41035856573706,273.58565737051794,240.1394422310757
296,74.56175298804781,217.71314741035857,377.9163346613546,334.80876494023903
297,51.11553784860558,224.20318725099602,387.8685258964143,341.81274900398404
298,53.79282868525896,223.18725099601593,388.0318725099602,339.9880478087649
299,54.569721115537845,223.38645418326692,387.12749003984067,339.9163346613546
300,58.99601593625498,220.12749003984064,385.8366533864542,340.0398406374502
301,56.75298804780876,222.27490039840637,385.0796812749004,340.8924302788845
302,337.31474103585657,155.96812749003985,272.68924302788844,239.02788844621514
303,73.2988047808765,218.94820717131475,379.7250996015936,333.0278884462151
304,53.04382470119522,223.81673306772907,386.61752988047806,341.52191235059763
305,62.0796812749004,220.88446215139442,384.0916334661355,337.9442231075697
306,451.32669322709165,130.38645418326692,226.14741035856574,197.1394422310757
307,72.3187250996016,218.30677290836653,379.19123505976097,335.1832669322709
308,271.32669322709165,170.76892430278883,298.8804780876494,264.0239043824701
309,618.6892430278884,91.800796812749,156.89641434262947,137.61354581673308
310,554.6334661354582,105.01195219123505,182.68525896414343,162.66932270916334
311,714.4223107569721,67.96812749003983,117.31075697211155,105.2988047808765
312,583.7011952191235,100.30677290836654,171.0159362549801,149.9760956175299
313,445.7768924302789,131.0159362549801,227.15139442231074,201.0557768924303
314,74.89641434262948,218.6374501992032,378.49003984063745,332.9760956175299
315,916.7011952191235,20.247011952191237,35.657370517928285,32.39442231075697
316,517.1274900398406,113.30677290836654,197.19521912350598,177.37051792828686
317,649.5099601593625,83.88047808764941,145.31474103585657,126.29482071713147
318,78.00796812749005,216.25498007968127,379.49402390438246,331.2430278884462
319,529.792828685259,111.71314741035856,193.25498007968127,170.23904382470118
320,70.7011952191235,218.85258964143426,381.6972111553785,333.74900398406373
